1423605905 0 1 0 0 0 0 0 0 0 0
1423606389 0 1 0 0 1 0 0 0 0 0
1423617528 0 1 0 0 1 1 0 0 0 0
1423619756 0 1 0 0 1 1 0 1 0 0
1423620064 0 1 0 0 2 1 0 1 0 0
1423627967 1 1 0 0 2 1 0 1 0 0
1424732890 2 1 0 0 2 1 0 1 0 0
1424732990 3 1 0 0 2 1 0 1 0 0
1424733016 4 1 0 0 2 1 0 1 0 0
1425414610 4 2 0 0 2 1 0 1 0 0
1425417347 5 2 0 0 2 1 0 1 0 0
1425417508 5 2 0 1 2 1 0 1 0 0
1425417573 5 2 0 1 3 1 0 1 0 0
1426007403 5 3 0 1 3 1 0 1 0 0
1426638988 6 3 0 1 3 1 0 1 0 0
1427835684 6 3 0 1 3 2 0 1 0 0
1429044151 6 3 0 1 3 3 0 1 0 0
1429296870 6 4 0 1 3 3 0 1 0 0
1429799558 7 4 0 1 3 3 0 1 0 0
1430857916 7 5 0 1 3 3 0 1 0 0
1432265879 7 5 0 1 4 3 0 1 0 0
1432682722 7 5 0 2 4 3 0 1 0 0
1432683004 7 5 0 3 4 3 0 1 0 0
1432683413 7 6 0 3 4 3 0 1 0 0
1433537409 7 6 0 3 4 3 1 1 0 0
1433873121 7 6 0 3 4 3 2 1 0 0
1434157351 7 6 0 3 4 3 2 1 1 0
1434157438 7 6 0 4 4 3 2 1 1 0
1445830203 7 6 1 4 4 3 2 1 1 0
1447003210 7 6 1 4 4 3 2 1 1 1
1447615514 7 6 2 4 4 3 2 1 1 1
1448311493 7 6 3 4 4 3 2 1 1 1
1449006938 7 6 4 4 4 3 2 1 1 1
1449193051 7 6 5 4 4 3 2 1 1 1
1449193088 7 6 6 4 4 3 2 1 1 1
